,crop,Soil_Type,Pesticide_Use_Category,Season,rainfall,Crop_Damage
0,0,1,Lamba-Cyhalothrin,2,144,86
1,0,0,Chlormequat,3,112,93
2,1,0,Lamba-Cyhalothrin,3,283,88
3,1,1,Chlormequat,1,65,91
4,0,1,Lamba-Cyhalothrin,3,252,90
5,0,0,Chlormequat,3,113,92
6,1,0,Chlormequat,3,145,89
7,1,0,Chlormequat,1,200,89
8,1,0,Lamba-Cyhalothrin,3,144,96
9,0,1,Lamba-Cyhalothrin,3,222,98
10,1,1,Chlormequat,3,128,92
11,1,0,Amidosulfuron,2,200,84
12,1,0,Chlormequat,3,275,81
13,0,1,Chlormequat,1,96,98
14,0,0,Amidosulfuron,3,285,99
15,0,1,Chlormequat,2,125,99
16,1,0,Amidosulfuron,1,279,90
17,0,0,Amidosulfuron,2,100,85
18,1,1,Chlormequat,1,273,84
19,0,1,Lamba-Cyhalothrin,3,229,91
20,1,0,Lamba-Cyhalothrin,1,298,84
21,0,0,Amidosulfuron,3,63,83
22,1,1,Lamba-Cyhalothrin,1,206,85
23,1,1,Lamba-Cyhalothrin,1,60,89
24,0,1,Lamba-Cyhalothrin,3,130,88
25,0,0,Chlormequat,3,131,83
26,1,1,Lamba-Cyhalothrin,2,100,89
27,0,1,Amidosulfuron,1,141,86
28,1,1,Lamba-Cyhalothrin,2,165,84
29,1,1,Amidosulfuron,1,151,99
30,1,0,Chlormequat,2,216,95
31,0,1,Amidosulfuron,2,243,83
32,1,0,Chlormequat,1,298,95
33,0,1,Amidosulfuron,3,98,92
34,0,1,Lamba-Cyhalothrin,2,180,92
35,1,0,Amidosulfuron,1,60,94
36,0,1,Amidosulfuron,3,151,87
37,1,1,Chlormequat,1,120,83
38,0,0,Chlormequat,3,281,97
39,0,1,Chlormequat,2,254,89
40,1,1,Lamba-Cyhalothrin,1,119,93
41,0,0,Lamba-Cyhalothrin,1,252,81
42,0,0,Chlormequat,2,247,95
43,0,1,Amidosulfuron,1,119,80
44,0,0,Lamba-Cyhalothrin,1,199,85
45,0,0,Amidosulfuron,1,160,82
46,0,1,Lamba-Cyhalothrin,3,199,81
47,0,0,Lamba-Cyhalothrin,3,139,84
48,0,1,Chlormequat,1,248,97
